#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
406,06/07/2022 09:47:30,29.98,9748.48,,,,
407,06/07/2022 09:47:40,29.64,9674.24,,,,
408,06/07/2022 09:47:50,29.30,9840.64,,,,
409,06/07/2022 09:48:00,29.08,9643.52,,,,
410,06/07/2022 09:48:10,28.83,9797.12,,,,
411,06/07/2022 09:48:20,28.65,9792.00,,,,
412,06/07/2022 09:48:30,28.48,9704.96,,,,
413,06/07/2022 09:48:40,28.40,9753.60,,,,
414,06/07/2022 09:48:50,28.23,9666.56,,,,
415,06/07/2022 09:49:00,28.14,9661.44,,,,
416,06/07/2022 09:49:10,27.97,9648.64,,,,
417,06/07/2022 09:49:20,27.88,8678.40,,,,
418,06/07/2022 09:49:30,27.80,8043.52,,,,
419,06/07/2022 09:49:40,27.58,6420.48,,,,
420,06/07/2022 09:49:50,27.50,6446.08,,,,
421,06/07/2022 09:50:00,27.45,6446.08,,,,
422,06/07/2022 09:50:10,27.32,6453.76,,,,
423,06/07/2022 09:50:20,27.24,6458.88,,,,
424,06/07/2022 09:50:30,27.20,6476.80,,,,
425,06/07/2022 09:50:40,27.11,6484.48,,,,
426,06/07/2022 09:50:50,27.07,6497.28,,,,
427,06/07/2022 09:51:00,27.07,6533.12,,,,
428,06/07/2022 09:51:10,26.98,6310.40,,,,
429,06/07/2022 09:51:20,26.94,6110.72,,,,
430,06/07/2022 09:51:30,26.85,5969.92,,,,
431,06/07/2022 09:51:40,26.85,6080.00,,,,
432,06/07/2022 09:51:50,26.77,6138.88,,,,
433,06/07/2022 09:52:00,26.77,5895.68,,,,
434,06/07/2022 09:52:10,26.72,5854.72,,,,
435,06/07/2022 09:52:20,26.68,5800.96,,,,
436,06/07/2022 09:52:30,26.64,5762.56,,,,
437,06/07/2022 09:52:40,26.64,5716.48,,,,
438,06/07/2022 09:52:50,26.60,5672.96,,,,
439,06/07/2022 09:53:00,26.55,5647.36,,,,
440,06/07/2022 09:53:10,26.55,5803.52,,,,
441,06/07/2022 09:53:20,26.51,5923.84,,,,
442,06/07/2022 09:53:30,26.51,5949.44,,,,
443,06/07/2022 09:53:40,26.47,6154.24,,,,
444,06/07/2022 09:53:50,26.42,6228.48,,,,
445,06/07/2022 09:54:00,26.38,6397.44,,,,
446,06/07/2022 09:54:10,26.38,6507.52,,,,
447,06/07/2022 09:54:20,26.38,6520.32,,,,
448,06/07/2022 09:54:30,26.34,6497.28,,,,
449,06/07/2022 09:54:40,26.34,6471.68,,,,
